Região;Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Capital;OCORRÊNCIAS DE PORTE DE ENTORPECENTES;106;113;135;105;161;245;158;137;119;123;93;92;1.587
Capital;OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;575;570;607;648;631;663;502;476;460;424;409;272;6.237
Capital;OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);33;30;31;43;36;67;44;49;44;45;30;31;483
Capital;OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;53;74;81;70;74;71;48;56;87;76;66;68;824
Capital;Nº DE ARMAS DE FOGO APREENDIDAS;197;193;241;209;339;193;184;169;173;734;168;271;3.071
Capital;Nº DE FLAGRANTES LAVRADOS;2.038;2.007;2.075;1.951;2.010;2.019;2.003;2.092;2.112;2.101;1.868;1.636;23.912
Capital;Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;205;197;196;200;200;219;194;251;159;176;181;143;2.321
Capital;Nº DE INFRATORES APREENDIDOS POR MANDADO;5;0;20;2;14;3;0;1;6;3;2;2;58
Capital;Nº DE PESSOAS PRESAS EM FLAGRANTE;2.384;2.371;2.471;2.312;2.467;2.391;2.329;2.544;2.513;2.440;2.171;1.926;28.319
Capital;Nº DE PESSOAS PRESAS POR MANDADO;777;753;679;605;783;720;773;729;781;619;670;735;8.624
Capital;Nº DE PRISÕES EFETUADAS;2.315;2.213;2.301;2.139;2.399;2.531;2.396;2.543;2.587;2.338;2.180;1.948;27.890
Capital;Nº DE VEÍCULOS RECUPERADOS;1.184;1.175;1.147;1.049;1.136;1.149;937;1.200;1.163;1.111;1.109;1.197;13.557
Capital;TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;6.738;7.746;8.087;7.289;7.334;7.815;7.219;7.435;7.698;7.607;6.866;7.084;88.918
Grande São Paulo (exclui a Capital);OCORRÊNCIAS DE PORTE DE ENTORPECENTES;40;66;57;51;75;103;87;85;71;57;51;47;790
Grande São Paulo (exclui a Capital);OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;444;509;544;531;612;534;484;535;477;459;466;322;5.917
Grande São Paulo (exclui a Capital);OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);64;66;64;74;123;57;45;60;51;50;36;46;736
Grande São Paulo (exclui a Capital);OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;51;51;60;42;38;60;48;68;61;54;34;43;610
Grande São Paulo (exclui a Capital);Nº DE ARMAS DE FOGO APREENDIDAS;143;151;180;174;149;119;152;139;136;144;133;127;1.747
Grande São Paulo (exclui a Capital);Nº DE FLAGRANTES LAVRADOS;1.184;1.208;1.382;1.224;1.332;1.313;1.235;1.366;1.305;1.248;1.261;1.147;15.205
Grande São Paulo (exclui a Capital);Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;140;148;169;160;146;153;143;140;156;108;142;121;1.726
Grande São Paulo (exclui a Capital);Nº DE INFRATORES APREENDIDOS POR MANDADO;23;25;23;20;35;30;13;31;25;21;15;26;287
Grande São Paulo (exclui a Capital);Nº DE PESSOAS PRESAS EM FLAGRANTE;1.386;1.441;1.645;1.439;1.604;1.555;1.504;1.583;1.509;1.501;1.440;1.386;17.993
Grande São Paulo (exclui a Capital);Nº DE PESSOAS PRESAS POR MANDADO;537;583;561;513;608;590;568;572;530;587;547;473;6.669
Grande São Paulo (exclui a Capital);Nº DE PRISÕES EFETUADAS;1.849;1.906;2.014;1.805;2.065;2.068;1.977;2.063;1.868;1.901;1.852;1.717;23.085
Grande São Paulo (exclui a Capital);Nº DE VEÍCULOS RECUPERADOS;845;690;678;699;853;801;785;833;853;897;887;904;9.725
Grande São Paulo (exclui a Capital);TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;4.806;4.853;4.951;4.933;5.189;4.963;4.988;5.377;5.229;5.371;4.792;4.756;60.208
São José dos Campos;OCORRÊNCIAS DE PORTE DE ENTORPECENTES;54;67;52;29;52;65;46;70;54;49;36;53;627
São José dos Campos;OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;217;216;241;246;238;205;168;200;162;164;151;148;2.356
São José dos Campos;OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);10;4;7;9;12;7;3;10;8;6;10;6;92
São José dos Campos;OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;31;47;40;25;33;38;23;34;46;27;31;42;417
São José dos Campos;Nº DE ARMAS DE FOGO APREENDIDAS;77;83;86;64;67;82;54;92;80;89;50;62;886
São José dos Campos;Nº DE FLAGRANTES LAVRADOS;395;395;428;377;371;381;330;403;396;378;337;344;4.535
São José dos Campos;Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;44;65;40;63;54;46;44;55;34;46;43;38;572
São José dos Campos;Nº DE INFRATORES APREENDIDOS POR MANDADO;11;22;14;20;12;13;18;27;10;22;8;10;187
São José dos Campos;Nº DE PESSOAS PRESAS EM FLAGRANTE;481;501;522;480;463;451;418;480;469;452;399;408;5.524
São José dos Campos;Nº DE PESSOAS PRESAS POR MANDADO;161;247;254;182;277;212;190;311;204;215;176;161;2.590
São José dos Campos;Nº DE PRISÕES EFETUADAS;556;642;682;559;648;593;520;714;600;593;513;505;7.125
São José dos Campos;Nº DE VEÍCULOS RECUPERADOS;99;124;118;108;119;95;77;95;113;85;86;114;1.233
São José dos Campos;TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;1.587;1.709;1.849;1.533;1.573;1.615;1.669;1.820;1.718;1.733;1.610;1.701;20.117
Campinas;OCORRÊNCIAS DE PORTE DE ENTORPECENTES;99;121;121;74;101;119;97;106;93;114;102;113;1.260
Campinas;OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;311;313;321;305;306;316;277;310;262;285;258;238;3.502
Campinas;OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);71;72;62;54;60;76;52;62;52;67;63;50;741
Campinas;OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;24;30;33;32;32;26;20;33;27;18;26;31;332
Campinas;Nº DE ARMAS DE FOGO APREENDIDAS;57;85;101;104;76;57;110;126;67;58;51;80;972
Campinas;Nº DE FLAGRANTES LAVRADOS;643;672;670;619;663;671;621;704;646;681;607;594;7.791
Campinas;Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;37;51;53;63;47;81;44;52;48;48;60;47;631
Campinas;Nº DE INFRATORES APREENDIDOS POR MANDADO;9;10;7;11;10;12;4;19;10;9;5;9;115
Campinas;Nº DE PESSOAS PRESAS EM FLAGRANTE;767;809;794;748;767;809;725;828;751;797;709;686;9.190
Campinas;Nº DE PESSOAS PRESAS POR MANDADO;282;314;300;295;378;320;314;331;300;286;257;260;3.637
Campinas;Nº DE PRISÕES EFETUADAS;948;990;981;906;1.036;982;910;1.039;959;994;875;857;11.477
Campinas;Nº DE VEÍCULOS RECUPERADOS;250;260;231;250;213;246;233;273;248;239;272;276;2.991
Campinas;TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;2.176;2.356;2.693;2.415;2.420;2.474;2.336;2.718;2.492;2.301;2.298;2.239;28.918
Ribeirão Preto;OCORRÊNCIAS DE PORTE DE ENTORPECENTES;232;251;280;292;265;305;222;307;277;284;241;252;3.208
Ribeirão Preto;OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;374;394;434;416;353;410;313;354;336;306;301;293;4.284
Ribeirão Preto;OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);56;47;39;48;45;45;45;56;56;50;51;43;581
Ribeirão Preto;OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;26;44;39;37;36;35;25;44;33;43;41;41;444
Ribeirão Preto;Nº DE ARMAS DE FOGO APREENDIDAS;72;110;91;79;159;82;74;102;87;85;90;94;1.125
Ribeirão Preto;Nº DE FLAGRANTES LAVRADOS;729;717;774;732;691;682;591;699;716;689;724;677;8.421
Ribeirão Preto;Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;80;87;90;99;76;80;74;87;69;62;99;88;991
Ribeirão Preto;Nº DE INFRATORES APREENDIDOS POR MANDADO;18;59;33;37;24;34;34;28;27;27;24;23;368
Ribeirão Preto;Nº DE PESSOAS PRESAS EM FLAGRANTE;846;838;878;854;788;776;688;794;825;765;785;753;9.590
Ribeirão Preto;Nº DE PESSOAS PRESAS POR MANDADO;412;528;486;460;472;569;573;610;484;454;477;431;5.956
Ribeirão Preto;Nº DE PRISÕES EFETUADAS;1.153;1.250;1.286;1.196;1.167;1.259;1.169;1.274;1.206;1.133;1.183;1.110;14.386
Ribeirão Preto;Nº DE VEÍCULOS RECUPERADOS;221;219;200;232;190;178;184;184;189;184;224;235;2.440
Ribeirão Preto;TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;2.590;2.473;2.995;2.738;2.590;2.698;2.506;2.914;2.757;2.695;2.607;2.755;32.318
Bauru;OCORRÊNCIAS DE PORTE DE ENTORPECENTES;76;68;71;62;70;63;66;81;74;77;49;57;814
Bauru;OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;175;164;205;190;192;186;155;160;143;116;101;103;1.890
Bauru;OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);33;41;51;39;59;38;32;25;48;25;40;34;465
Bauru;OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;16;18;13;11;16;22;17;12;14;13;13;18;183
Bauru;Nº DE ARMAS DE FOGO APREENDIDAS;58;45;43;39;41;49;30;35;50;54;73;69;586
Bauru;Nº DE FLAGRANTES LAVRADOS;379;342;400;384;387;385;342;417;372;328;302;328;4.366
Bauru;Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;39;37;33;43;35;47;29;44;32;20;23;29;411
Bauru;Nº DE INFRATORES APREENDIDOS POR MANDADO;5;10;6;10;6;8;11;4;3;13;8;11;95
Bauru;Nº DE PESSOAS PRESAS EM FLAGRANTE;457;400;469;460;452;486;388;482;429;400;353;374;5.150
Bauru;Nº DE PESSOAS PRESAS POR MANDADO;377;429;437;471;483;503;476;543;480;396;397;417;5.409
Bauru;Nº DE PRISÕES EFETUADAS;699;709;745;768;797;782;808;883;768;692;656;703;9.010
Bauru;Nº DE VEÍCULOS RECUPERADOS;100;69;72;60;63;64;84;93;67;73;88;117;950
Bauru;TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;1.215;1.517;1.572;1.531;1.431;1.372;1.281;1.726;1.583;1.382;1.426;1.353;17.389
